,TITLE,LOCATION,PRICE,LAND AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,AMENITIES,CITY,LA_N,RA_N,BY_N,PRICE_N
11, House for Sale,"Kharibot, Kathmandu",Rs. 2.45 Cr ,3.0 aana,16 Feet,South,2.5,4.0,2.0,2070 B.S,"['Marbel', 'Earthquake Resistant', 'Parquet', 'Drainage', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room']", Kathmandu,3.0,16,2070,24500000.0
12,Bungalow House for Sale,"Bafal, Kathmandu",Rs. 2.5 Cr ,4.0 aana,13 Feet,South-East,4.0,4.0,5.0,2078 B.S,"['Marbel', 'Earthquake Resistant', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Modular Kitchen', 'Bed Room', 'Dining Room', 'Pantry']", Kathmandu,4.0,13,2078,25000000.0
13,4 BHK House for Sale,"Khumaltar, Lalitpur",Rs. 4.25 Cr ,4.0 aana,20 Feet,South-East,2.5,4.0,4.0,2078 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Terrace', 'Parking', 'Balcony', 'Drinking Water', 'Fridge', 'Sofa', 'AirCon', 'TV']", Lalitpur,4.0,20,2078,42500000.0
14,Bungalow House for Sale,"Bhaisepati, Lalitpur",Rs. 6.5 Cr ,6.2 aana,12 Feet,South-East,2.5,4.0,5.0,2077 B.S,"['Marbel', 'Parquet', 'Earthquake Resistant', 'Terrace', 'Parking', 'Drinking Water', 'Balcony', 'Bed Room', 'Closet', 'Internet', 'AirCon']", Lalitpur,6.2,12,2077,65000000.0
15,4 BHK House for Sale,"Bhaisepati, Lalitpur",Rs. 3.6 Cr ,4.2 aana,13 Feet,South-West,2.5,4.0,5.0,2077 B.S,"['Parquet', 'Marbel', 'Earthquake Resistant', 'Balcony', 'Terrace', 'Parking', 'Drinking Water', 'Modular Kitchen', 'MiCrowave', 'Closet', 'Bed Room']", Lalitpur,4.2,13,2077,36000000.0
16, House for Sale,"Khumaltar, Lalitpur",Rs. 5.8 Cr ,5.0 aana,14 Feet,North-West,3.5,6.0,6.0,2078 B.S,"['Marbel', 'Earthquake Resistant', 'Parquet', 'Drinking Water', 'Parking', 'Bathtub', 'Balcony', 'Terrace', 'Sofa', 'AirCon', 'Washing Machine']", Lalitpur,5.0,14,2078,58000000.0
17,Bungalow House for Sale,"Bhaisepati, Lalitpur",Rs. 2.5 Cr ,3.2 aana,12 Feet,South-East,3.5,5.0,7.0,2078 B.S,"['Earthquake Resistant', 'Terrace', 'Marbel', 'Parquet', 'Drainage', 'CC Camera', 'Parking', 'Power Backup', 'Drinking Water', 'Balcony', 'Fridge']", Lalitpur,3.2,12,2078,25000000.0
18,4 BHK House for Sale,"Bhaisepati, Lalitpur",Rs. 4.8 Cr ,5.2 aana,16 Feet,South-East,3.0,4.0,4.0,2077 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Balcony', 'Drinking Water', 'Parking', 'Terrace', 'Bed Room', 'Dining Room', 'Pantry', 'Master Bedroom']", Lalitpur,5.2,16,2077,48000000.0
19,4 BHK House for Sale,"Tahachal, Kathmandu",Rs. 6.65 Cr ,4.1 aana,20 Feet,North,3.0,4.0,5.0,2077 B.S,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Balcony', 'Parquet', 'Parking', 'Terrace', 'Sofa', 'Fridge', 'Iron', 'Closet']", Kathmandu,4.1,20,2077,66500000.0
20,Bungalow House for Sale,"Dhapasi, Kathmandu",Rs. 13.3 Cr ,9.6 aana,14 Feet,North-East,2.5,5.0,5.0,2077 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Garden', 'Power Backup', 'Drainage', 'Basement', 'Bathtub', 'Balcony', 'Drinking Water']", Kathmandu,9.6,14,2077,133000000.0
21,Villa House for Sale,"Thecho, Lalitpur",Rs. 8.5 Cr ,7.0 aana,12 Feet,East,3.5,5.0,7.0,2078 B.S,"['Earthquake Resistant', 'Drinking Water', 'Parquet', 'Marbel', 'Parking', 'Balcony', 'Terrace', 'MiCrowave', 'Power Backup', 'Iron', 'Sofa']", Lalitpur,7.0,12,2078,85000000.0
22,Bungalow House for Sale,"Bhaisepati, Lalitpur",Rs. 5.5 Cr ,5.0 aana,12 Feet,North-East,2.5,4.0,5.0,2078 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Modular Kitchen', 'MiCrowave', 'Dining Room', 'Guest Room', 'Modular Kitchen', 'Bed Room']", Lalitpur,5.0,12,2078,55000000.0
23, House for Sale,"Bhaisepati, Lalitpur",Rs. 4.75 Cr ,3.1 aana,20 Feet,South,2.5,4.0,4.0,2075 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drainage', 'Power Backup', 'Drinking Water', 'Balcony', 'Terrace', 'Fridge', 'Sofa']", Lalitpur,3.1,20,2075,47500000.0
24, House for Sale,"Imadol, Lalitpur",Rs. 2.95 Cr ,3.2 aana,13 Feet,South,3.0,5.0,4.0,2075 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Terrace', 'Drinking Water', 'Modular Kitchen', 'MiCrowave', 'Dining Room', 'Bed Room', 'Bathroom']", Lalitpur,3.2,13,2075,29500000.0
25, House for Sale,"Sanepa, Lalitpur",Rs. 6.35 Cr ,5.0 aana,10 Feet,North-West,2.5,5.0,3.0,2078 B.S,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Parquet', 'Terrace', 'Parking', 'Modular Kitchen', 'MiCrowave', 'Bed Room', 'Dining Room', 'Guest Room']", Lalitpur,5.0,10,2078,63500000.0
26,Bungalow House for Sale,"Bhaisepati, Lalitpur",Rs. 8.5 Cr ,7.0 aana,13 Feet,West,2.5,5.0,6.0,2075 B.S,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Balcony', 'Parquet', 'Parking', 'Terrace', 'Modular Kitchen', 'Dining Room', 'Guest Room', 'Modular Kitchen']", Lalitpur,7.0,13,2075,85000000.0
27,Bungalow House for Sale,"Maharajgunj, Kathmandu",Rs. 10.5 Cr ,11.0 aana,12 Feet,South,2.5,4.0,4.0,2078 B.S,"['Earthquake Resistant', 'Drinking Water', 'Balcony', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Garden', 'Power Backup', 'Terrace', 'Fridge']", Kathmandu,11.0,12,2078,105000000.0
28,4 BHK House for Sale,"Bhaisepati, Lalitpur",Rs. 6.4 Cr ,7.0 aana,26 Feet,East,2.5,4.0,4.0,2075 B.S,"['Earthquake Resistant', 'Parquet', 'Marbel', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']", Lalitpur,7.0,26,2075,64000000.0
29,3 BHK House for Sale,"Sunakothi, Lalitpur",Rs. 3.5 Cr ,4.0 aana,20 Feet,North,2.5,3.0,4.0,2080 B.S,"['Earthquake Resistant', 'Marbel', 'Drinking Water', 'Balcony', 'Parquet', 'Parking', 'Dining Room', 'Bed Room', 'Bathroom', 'Living Room', 'Store Room']", Lalitpur,4.0,20,2080,35000000.0
30, House for Sale,"Kapan, Kathmandu",Rs. 2.2 Cr ,3.0 aana,16 Feet,South,2.5,6.0,5.0,2078 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room']", Kathmandu,3.0,16,2078,22000000.0
31,4 BHK House for Sale,"Dhobighat, Lalitpur",Rs. 3.75 Cr ,3.0 aana,16 Feet,South,2.5,4.0,4.0,2078 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Terrace', 'Drinking Water', 'Fridge', 'Sofa', 'MiCrowave', 'Modular Kitchen', 'Closet']", Lalitpur,3.0,16,2078,37500000.0
32, House for Sale,"Hattiban, Lalitpur",Rs. 8 Cr ,6.0 aana,20 Feet,South,2.0,5.0,4.0,2078 B.S,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Parquet', 'Parking', 'Terrace', 'Balcony', 'Modular Kitchen', 'Fridge', 'Sofa', 'MiCrowave']", Lalitpur,6.0,20,2078,80000000.0
33,Bungalow House for Sale,"Satdobato, Lalitpur",Rs. 5.5 Cr ,4.2 aana,13 Feet,South-East,3.5,6.0,7.0,2077 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Modular Kitchen', 'Dining Room', 'Bed Room', 'Bathroom']", Lalitpur,4.2,13,2077,55000000.0
34,Bungalow House for Sale,"Bhaisepati, Lalitpur",Rs. 5.5 Cr ,3.3 aana,13 Feet,South-West,2.5,4.0,4.0,2075 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Terrace', 'Balcony', 'Sofa', 'Iron', 'Modular Kitchen', 'Closet']", Lalitpur,3.3,13,2075,55000000.0
35, House for Sale,"Sanepa, Lalitpur",Rs. 7.75 Cr ,9.0 aana,20 Feet,South-West,2.5,5.0,5.0,2078 B.S,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Balcony', 'Parking', 'Sofa', 'Iron', 'MiCrowave', 'Modular Kitchen', 'Closet', 'Bathroom']", Lalitpur,9.0,20,2078,77500000.0
36, House for Sale,"Budhanilkantha, Kathmandu",Rs. 16 Cr ,12 aana,13 Feet,North,2.5,7.0,7.0,2074 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Parking', 'Garden', 'Balcony', 'Terrace', 'Fridge', 'Sofa']", Kathmandu,12,13,2074,160000000.0
37, House for Sale,"Imadol, Lalitpur",Rs. 3.19 Cr ,4.1 aana,13 Feet,South,2.5,5.0,3.0,2078 B.S,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room']", Lalitpur,4.1,13,2078,31900000.0
38,4 BHK House for Sale,"Sitapaila, Kathmandu",Rs. 2.5 Cr ,3.0 aana,13 Feet,West,2.5,4.0,3.0,2074 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Reserve Tank', 'Power Backup', 'Dining Room']", Kathmandu,3.0,13,2074,25000000.0
39, House for Sale,"Pokhara, Kaski",Rs. 12 Cr ,11.0 aana,20 Feet,West,2.5,4.0,4.0,2080 B.S,"['Earthquake Resistant', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Dining Room', 'Bed Room', 'Bathroom', 'Living Room', 'Modular Kitchen']", Kaski,11.0,20,2080,120000000.0
40,Bungalow House for Sale,"Bhaisepati, Lalitpur",Rs. 6.25 Cr ,6.4 aana,13 Feet,North-West,2.5,5.0,6.0,2078 B.S,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Terrace', 'Drainage', 'Parking', 'Fridge', 'Sofa', 'Water Purifier', 'MiCrowave', 'Power Backup']", Lalitpur,6.4,13,2078,62500000.0
41,Bungalow House for Sale,"Budhanilkantha, Kathmandu",Rs. 16 Cr ,12.0 aana,12 Feet,North,2.5,7.0,7.0,2078 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Balcony', 'Drinking Water', 'Modular Kitchen', 'Closet', 'Internet', 'Water Purifier', 'Power Backup']", Kathmandu,12.0,12,2078,160000000.0
42,4 BHK House for Sale,"Hattiban, Lalitpur",Rs. 2.8 Cr ,2.2 aana,12 Feet,North,2.5,4.0,4.0,2078 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Modular Kitchen', 'Dining Room', 'Bed Room', 'Bathroom']", Lalitpur,2.2,12,2078,28000000.0
44, House for Sale,"Bhaisepati, Lalitpur",Rs. 4.8 Cr ,5.0 aana,25 Feet,South,2.5,6.0,4.0,2078 B.S,"['Parquet', 'Marbel', 'Earthquake Resistant', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Modular Kitchen', 'Dining Room', 'Bed Room', 'Bathroom']", Lalitpur,5.0,25,2078,48000000.0
45, House for Sale,"Imadol, Lalitpur",Rs. 2.5 Cr ,3.1 aana,13 Feet,North,3.0,5.0,3.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Sofa', 'Water Purifier', 'Power Backup', 'Modular Kitchen']", Lalitpur,3.1,13,2076,25000000.0
46,4 BHK House for Rent,"Sanepa, Lalitpur",Rs. 3.35 Cr ,5.0 aana,19 Feet,West,2.5,4.0,2.0,2076 B.S,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Parquet', 'Balcony', 'Terrace', 'Parking', 'Sofa', 'Fridge', 'MiCrowave', 'Iron']", Lalitpur,5.0,19,2076,33500000.0
47,4 BHK House for Rent,"Sanepa, Lalitpur",Rs. 3.50 Cr,5.0 aana,19 Feet,North-West,2.5,4.0,3.0,2075 B.S,"['Marbel', 'Parquet', 'Earthquake Resistant', 'Drinking Water', 'Terrace', 'Parking', 'Fridge', 'Sofa', 'MiCrowave', 'Iron', 'Power Backup']", Lalitpur,5.0,19,2075,35000000.0
48,4 BHK House for Sale,"Bhaisepati, Lalitpur",Rs. 4 Cr ,4.0 aana,18 Feet,North-East,2.5,4.0,5.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Parking', 'Drinking Water', 'Terrace', 'Balcony', 'Fridge', 'Sofa']", Lalitpur,4.0,18,2076,40000000.0
49,Bungalow House for Sale,"Nakhipot, Lalitpur",Rs. 6 Cr ,7.0 aana,13 Feet,East,2.5,5.0,3.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Power Backup', 'Parking', 'Drinking Water', 'Terrace', 'Balcony', 'Sofa', 'Water Purifier', 'MiCrowave']", Lalitpur,7.0,13,2076,60000000.0
50,4 BHK House for Sale,"Imadol, Lalitpur",Rs. 2.5 Cr ,3.5 aana,12 Feet,West,2.5,4.0,4.0,2071 B.S,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Parquet', 'Parking', 'Terrace', 'Modular Kitchen', 'Iron', 'MiCrowave', 'Closet', 'Sofa']", Lalitpur,3.5,12,2071,25000000.0
51, House for Sale,"Imadol, Lalitpur",Rs. 2.7 Cr ,3.3 aana,12 Feet,East,2.0,5.0,4.0,2078 B.S,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Parquet', 'Parking', 'Terrace', 'Balcony', 'Drainage', 'MiCrowave', 'Power Backup', 'Iron']", Lalitpur,3.3,12,2078,27000000.0
52,Bungalow House for Sale,"Gwarko, Lalitpur",Rs. 2.75 Cr ,3.0 aana,12 Feet,North,2.5,5.0,4.0,2074 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Terrace', 'Closet', 'Modular Kitchen', 'Bed Room', 'Dining Room', 'Guest Room']", Lalitpur,3.0,12,2074,27500000.0
53, House for Sale,"Budhanilkantha, Kathmandu",Rs. 11 Cr ,11.0 aana,16 Feet,South-East,2.5,5.0,5.0,2077 B.S,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Parking', 'Terrace', 'Balcony', 'Sofa', 'Power Backup']", Kathmandu,11.0,16,2077,110000000.0
54, House for Sale,"Hattiban, Lalitpur",Rs. 3.25 Cr ,3.3 aana,15 Feet,North-East,2.5,6.0,4.0,2077 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Terrace', 'Balcony', 'Drinking Water', 'Sofa', 'MiCrowave', 'Power Backup']", Lalitpur,3.3,15,2077,32500000.0
55, House for Sale,"Hattiban, Lalitpur",Rs. 2.8 Cr ,3.1 aana,13 Feet,South-West,2.0,5.0,4.0,2078 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Closet', 'Modular Kitchen', 'MiCrowave']", Lalitpur,3.1,13,2078,28000000.0
56, House for Sale,"Imadol, Lalitpur",Rs. 3.1 Cr ,3.2 aana,12 Feet,West,3.0,6.0,4.0,2078 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Power Backup', 'Modular Kitchen']", Lalitpur,3.2,12,2078,31000000.0
57,4 BHK House for Sale,"Baneshwor, Kathmandu",Rs. 4 Cr,5.0 aana,13 Feet,South,2.5,4.0,4.0,2077 B.S,"['Earthquake Resistant', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room']", Kathmandu,5.0,13,2077,40000000.0
58,House for Sale,"Tokha, Kathmandu",Rs. 3.5 Cr ,6 aana,15 Feet,North,2.5,3.0,3.0,2075 B.S,"['Bed Room', 'Dining Room', 'Living Room', 'Bathroom', 'Fire Place', 'Terrace', 'Reserve Tank', 'Balcony', 'Drinking Water', 'Drainage', 'Parquet']", Kathmandu,6,15,2075,35000000.0
59, House for Sale,"Imadol, Lalitpur",Rs. 3.15 Cr ,5.2 aana,20 Feet,East,2.0,6.0,5.0,2078 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drinking Water', 'Modular Kitchen', 'Dining Room', 'Bed Room', 'Bathroom', 'Living Room', 'Store Room', 'Prayer Room']", Lalitpur,5.2,20,2078,31500000.0
60, House for Sale,"Ochu Height, Lalitpur",Rs. 2.9 Cr ,3.2 aana,13 Feet,South,2.5,6.0,6.0,2077 B.S,"['Drainage', 'Parking', 'Earthquake Resistant', 'Marbel', 'Parquet', 'Drinking Water', 'Modular Kitchen', 'Dining Room', 'Bed Room', 'Bathroom', 'Living Room']", Lalitpur,3.2,13,2077,29000000.0
61, House for Sale,"Imadol, Lalitpur",Rs. 4.25 Cr ,4.2 aana,20 Feet,East,3.0,5.0,4.0,2078 B.S,"['Earthquake Resistant', 'Marbel', 'Parking', 'Drinking Water', 'Modular Kitchen', 'Internet', 'Dining Room', 'Bed Room', 'Bathroom', 'Store Room', 'Prayer Room']", Lalitpur,4.2,20,2078,42500000.0
62,4 BHK House for Sale,"Bhaisepati, Lalitpur",Rs. 4.65 Cr ,4.0 aana,12 Feet,South-East,2.0,4.0,4.0,2074 B.S,"['Earthquake Resistant', 'Drainage', 'Drinking Water', 'Parking', 'Parquet', 'Modular Kitchen', 'Power Backup', 'Dining Room', 'Bed Room', 'Bathroom', 'Living Room']", Lalitpur,4.0,12,2074,46500000.0
63,Luxurious Villa  for Sale,"Bhaisepati, Lalitpur",Rs. 4 Cr,4.0 aana,20 Feet,North,2.5,5.0,4.0,2080 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Modular Kitchen', 'Dining Room', 'Bed Room', 'Bathroom', 'Modular Kitchen']", Lalitpur,4.0,20,2080,40000000.0
64,Bungalow House for Sale,"Sanepa, Lalitpur",Rs. 5.95 Cr ,5.0 aana,16 Feet,North-East,3.0,6.0,5.0,2078 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Terrace', 'Balcony', 'Drinking Water', 'Sofa', 'Modular Kitchen', 'Dining Room', 'Bed Room']", Lalitpur,5.0,16,2078,59500000.0
65,4 BHK House for Sale,"Nakkhu, Lalitpur",Rs. 3.9 Cr ,5.0 aana,13 Feet,East,2.5,4.0,4.0,2078 B.S,"['Earthquake Resistant', 'Marbel', 'Parking', 'Drinking Water', 'Terrace', 'Modular Kitchen', 'Dining Room', 'Bed Room', 'Bathroom', 'Prayer Room', 'Master Bedroom']", Lalitpur,5.0,13,2078,39000000.0
66, House for Sale,"Setipakha, Lalitpur",Rs. 3.2 Cr ,4.0 aana,13 Feet,East,3.0,8.0,3.0,2078 B.S,"['Earthquake Resistant', 'Marbel', 'Garden', 'Parking', 'Balcony', 'Reserve Tank', 'Water Well', 'Terrace', 'Basement', 'Sofa', 'Water Purifier']", Lalitpur,4.0,13,2078,32000000.0
67, House for Sale,"Setipakha, Lalitpur",Rs. 3.25 Cr ,4.0 aana,13 Feet,East,3.0,8.0,3.0,2077 B.S,"['Marbel', 'Earthquake Resistant', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Water Well', 'Sofa', 'Modular Kitchen']", Lalitpur,4.0,13,2077,32500000.0
68,4 BHK House for Sale,"Sunakothi, Lalitpur",Rs. 5.15 Cr ,7.1 aana,20 Feet,South,2.5,4.0,4.0,2074 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Garden', 'Parking', 'Reserve Tank', 'Drinking Water', 'Terrace', 'Power Backup', 'Dining Room']", Lalitpur,7.1,20,2074,51500000.0
69, House for Sale,"Kalanki, Kathmandu",Rs. 3.5 Cr ,4.0 aana,10 Feet,South,3.5,8.0,6.0,2075 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room', 'Bathroom']", Kathmandu,4.0,10,2075,35000000.0
70,Bungalow House for Sale,"Imadol, Lalitpur",Rs. 3.25 Cr ,4.3 aana,20 Feet,East,2.5,4.0,4.0,2078 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Garden', 'Parking', 'Drinking Water', 'Water Well', 'Terrace', 'Reserve Tank']", Lalitpur,4.3,20,2078,32500000.0
71, House for Sale,"Bhangal , Kathmandu",Rs. 3.2 Cr ,3.1 aana,13 Feet,North,2.5,5.0,6.0,2074 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']", Kathmandu,3.1,13,2074,32000000.0
72, House for Sale,"Sukedhara, Kathmandu",Rs. 5.5 Cr ,5.2 aana,13 Feet,South,2.5,5.0,3.0,2075 B.S,"['Reserve Tank', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Power Backup', 'Bed Room', 'Dining Room', 'Bathroom']", Kathmandu,5.2,13,2075,55000000.0
73,House for Sale,"Setipakha, Lalitpur",Rs. 2.3 Cr ,2.3 aana,13 Feet,East,2.5,5.0,3.0,2074 B.S,"['Earthquake Resistant', 'Marbel', 'Garden', 'Parking', 'Water Well', 'Terrace', 'Balcony', 'Drinking Water', 'Sofa', 'Modular Kitchen', 'Dining Room']", Lalitpur,2.3,13,2074,23000000.0
74, House for Sale,"Chandragiri, Kathmandu",Rs. 1.7 Cr ,3.3 aana,20 Feet,East,2.0,3.0,3.0,2078 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Drainage', 'Power Backup', 'Dining Room', 'Bed Room']", Kathmandu,3.3,20,2078,17000000.0
75, House for Sale,"Imadol, Lalitpur",Rs. 2.4 Cr ,2.3 aana,13 Feet,South,3.5,5.0,4.0,2077 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']", Lalitpur,2.3,13,2077,24000000.0
